reporter_iso_3,reporter_name,partner_iso_3,partner_name,year,trade_flow_name,trade_value_1000_usd,trade_value_usd,reporter_continent,partner_continent,reporter_lat,reporter_long,partner_lat,partner_long
AFG,Afghanistan,HKG,"Hong Kong, China",2017,Export,64.546,64546.00000000001,Asia,Asia,33.7680065,66.2385139,22.2793278,114.1628131
AFG,Afghanistan,GRC,Greece,2017,Export,0.165,165.0,Asia,Europe,33.7680065,66.2385139,38.9953683,21.9877132
AFG,Afghanistan,GBR,United Kingdom,2018,Export,1540.377,1540377.0,Asia,Europe,33.7680065,66.2385139,54.7023545,-3.2765753
AFG,Afghanistan,GBR,United Kingdom,2017,Export,870.069,870069.0,Asia,Europe,33.7680065,66.2385139,54.7023545,-3.2765753
AFG,Afghanistan,FRA,France,2018,Export,534.921,534921.0,Asia,Europe,33.7680065,66.2385139,46.603354,1.8883335
AFG,Afghanistan,FRA,France,2017,Export,513.065,513065.00000000006,Asia,Europe,33.7680065,66.2385139,46.603354,1.8883335
AFG,Afghanistan,FIN,Finland,2018,Export,1228.017,1228017.0,Asia,Europe,33.7680065,66.2385139,63.2467777,25.9209164
AFG,Afghanistan,FIN,Finland,2017,Export,3784.262,3784262.0,Asia,Europe,33.7680065,66.2385139,63.2467777,25.9209164
AFG,Afghanistan,ESP,Spain,2018,Export,51.17,51170.0,Asia,Europe,33.7680065,66.2385139,39.3260685,-4.8379791
AFG,Afghanistan,ESP,Spain,2017,Export,90.352,90352.0,Asia,Europe,33.7680065,66.2385139,39.3260685,-4.8379791
AFG,Afghanistan,EGY,"Egypt, Arab Rep.",2018,Export,1.065,1065.0,Asia,Africa,33.7680065,66.2385139,,
AFG,Afghanistan,DNK,Denmark,2018,Export,5.581,5581.0,Asia,Europe,33.7680065,66.2385139,55.670249,10.3333283
AFG,Afghanistan,DNK,Denmark,2017,Export,117.959,117959.0,Asia,Europe,33.7680065,66.2385139,55.670249,10.3333283
AFG,Afghanistan,DEU,Germany,2018,Export,5340.073,5340073.0,Asia,Europe,33.7680065,66.2385139,51.1638175,10.4478313
